"id","team","year","tablename","value"
117,"Arizona",2007,"Strength of Schedule Power Rating","17.5"
118,"Tennessee",2007,"Strength of Schedule Power Rating","17.2"
119,"Clemson",2007,"Strength of Schedule Power Rating","17.0"
120,"Wisconsin",2007,"Strength of Schedule Power Rating","17.0"
121,"Texas",2007,"Strength of Schedule Power Rating","16.7"
122,"Texas A&M",2007,"Strength of Schedule Power Rating","16.6"
123,"Kansas",2007,"Strength of Schedule Power Rating","16.3"
124,"Purdue",2007,"Strength of Schedule Power Rating","15.6"
125,"Illinois",2007,"Strength of Schedule Power Rating","15.5"
126,"Alabama",2007,"Strength of Schedule Power Rating","15.3"
127,"Virginia",2007,"Strength of Schedule Power Rating","15.2"
128,"Oregon",2007,"Strength of Schedule Power Rating","15.2"
129,"Marquette",2007,"Strength of Schedule Power Rating","15.1"
130,"Creighton",2007,"Strength of Schedule Power Rating","15.0"
131,"Texas Tech",2007,"Strength of Schedule Power Rating","14.8"
132,"NC State",2007,"Strength of Schedule Power Rating","14.6"
133,"Connecticut",2007,"Strength of Schedule Power Rating","14.6"
134,"Wash State",2007,"Strength of Schedule Power Rating","14.3"
135,"Gonzaga",2007,"Strength of Schedule Power Rating","13.8"
136,"S Carolina",2007,"Strength of Schedule Power Rating","13.7"
137,"Auburn",2007,"Strength of Schedule Power Rating","13.6"
138,"Nebraska",2007,"Strength of Schedule Power Rating","12.8"
139,"BYU",2007,"Strength of Schedule Power Rating","12.4"
140,"Baylor",2007,"Strength of Schedule Power Rating","12.2"
141,"Houston",2007,"Strength of Schedule Power Rating","11.8"
142,"Drake",2007,"Strength of Schedule Power Rating","11.7"
143,"Iowa St",2007,"Strength of Schedule Power Rating","11.2"
144,"San Diego St",2007,"Strength of Schedule Power Rating","11.2"
145,"Northwestern",2007,"Strength of Schedule Power Rating","11.1"
146,"UAB",2007,"Strength of Schedule Power Rating","11.0"
147,"Nevada",2007,"Strength of Schedule Power Rating","10.8"
148,"Colorado",2007,"Strength of Schedule Power Rating","10.5"
149,"Colorado St",2007,"Strength of Schedule Power Rating","10.2"
150,"New Mexico",2007,"Strength of Schedule Power Rating","9.8"
151,"St Marys",2007,"Strength of Schedule Power Rating","9.4"
152,"Dayton",2007,"Strength of Schedule Power Rating","9.4"
153,"Boise St",2007,"Strength of Schedule Power Rating","9.3"
154,"Akron",2007,"Strength of Schedule Power Rating","9.0"
155,"Oakland",2007,"Strength of Schedule Power Rating","8.4"
156,"Col Charlestn",2007,"Strength of Schedule Power Rating","8.4"
157,"Duquesne",2007,"Strength of Schedule Power Rating","7.0"
158,"Lg Beach St",2007,"Strength of Schedule Power Rating","6.8"
159,"W Kentucky",2007,"Strength of Schedule Power Rating","6.4"
160,"Yale",2007,"Strength of Schedule Power Rating","5.0"
161,"Vermont",2007,"Strength of Schedule Power Rating","4.8"
162,"James Mad",2007,"Strength of Schedule Power Rating","4.8"
163,"Montana St",2007,"Strength of Schedule Power Rating","3.8"
164,"Samford",2007,"Strength of Schedule Power Rating","3.7"
165,"Colgate",2007,"Strength of Schedule Power Rating","3.4"
166,"McNeese St",2007,"Strength of Schedule Power Rating","2.6"
167,"S Dakota St",2007,"Strength of Schedule Power Rating","2.3"
168,"Wagner",2007,"Strength of Schedule Power Rating","1.1"
169,"St Peters",2007,"Strength of Schedule Power Rating","1.1"
170,"Stetson",2007,"Strength of Schedule Power Rating","1.1"
171,"Morehead St",2007,"Strength of Schedule Power Rating","0.8"
172,"Longwood",2007,"Strength of Schedule Power Rating","0.6"
173,"Howard",2007,"Strength of Schedule Power Rating","-1.6"
174,"Grambling St",2007,"Strength of Schedule Power Rating","-5.6"
175,"Florida",2007,"Last 5 Games Power Rating","35.3"
176,"Illinois",2007,"Last 5 Games Power Rating","31.1"
177,"Gonzaga",2007,"Last 5 Games Power Rating","30.3"
178,"N Carolina",2007,"Last 5 Games Power Rating","29.1"
179,"Duke",2007,"Last 5 Games Power Rating","28.7"
180,"New Mexico",2007,"Last 5 Games Power Rating","28.1"
181,"Texas A&M",2007,"Last 5 Games Power Rating","28.1"
182,"Oregon",2007,"Last 5 Games Power Rating","26.7"
183,"Clemson",2007,"Last 5 Games Power Rating","26.2"
184,"Texas",2007,"Last 5 Games Power Rating","25.9"
185,"Marquette",2007,"Last 5 Games Power Rating","25.2"
186,"Arizona",2007,"Last 5 Games Power Rating","24.9"
187,"Kansas",2007,"Last 5 Games Power Rating","24.4"
188,"Connecticut",2007,"Last 5 Games Power Rating","23.7"
189,"Wisconsin",2007,"Last 5 Games Power Rating","22.3"
190,"Alabama",2007,"Last 5 Games Power Rating","22.2"
191,"Nevada",2007,"Last 5 Games Power Rating","21.6"
192,"Akron",2007,"Last 5 Games Power Rating","21.5"
193,"W Kentucky",2007,"Last 5 Games Power Rating","21.4"
194,"Purdue",2007,"Last 5 Games Power Rating","20.3"
195,"Nebraska",2007,"Last 5 Games Power Rating","19.5"
196,"Tennessee",2007,"Last 5 Games Power Rating","18.9"
197,"Virginia",2007,"Last 5 Games Power Rating","18.7"
198,"Kentucky",2007,"Last 5 Games Power Rating","18.1"
199,"Wash State",2007,"Last 5 Games Power Rating","18.0"
200,"Oakland",2007,"Last 5 Games Power Rating","17.4"
201,"Houston",2007,"Last 5 Games Power Rating","17.2"
202,"St Marys",2007,"Last 5 Games Power Rating","16.9"
203,"BYU",2007,"Last 5 Games Power Rating","16.6"
204,"San Diego St",2007,"Last 5 Games Power Rating","15.9"
205,"Creighton",2007,"Last 5 Games Power Rating","15.8"
206,"UAB",2007,"Last 5 Games Power Rating","15.4"
207,"Texas Tech",2007,"Last 5 Games Power Rating","15.3"
208,"Vermont",2007,"Last 5 Games Power Rating","14.1"
209,"Dayton",2007,"Last 5 Games Power Rating","14.0"
210,"Baylor",2007,"Last 5 Games Power Rating","13.5"
211,"NC State",2007,"Last 5 Games Power Rating","13.1"
212,"Auburn",2007,"Last 5 Games Power Rating","12.5"
213,"Drake",2007,"Last 5 Games Power Rating","12.1"
214,"Col Charlestn",2007,"Last 5 Games Power Rating","11.2"
215,"Lg Beach St",2007,"Last 5 Games Power Rating","9.4"
216,"Northwestern",2007,"Last 5 Games Power Rating","9.2"
217,"S Carolina",2007,"Last 5 Games Power Rating","8.6"
218,"Boise St",2007,"Last 5 Games Power Rating","8.5"
219,"Samford",2007,"Last 5 Games Power Rating","8.3"
220,"Colorado St",2007,"Last 5 Games Power Rating","7.9"
221,"Iowa St",2007,"Last 5 Games Power Rating","6.6"
222,"Yale",2007,"Last 5 Games Power Rating","5.7"
223,"Morehead St",2007,"Last 5 Games Power Rating","4.2"
224,"Colgate",2007,"Last 5 Games Power Rating","0.9"
225,"Longwood",2007,"Last 5 Games Power Rating","0.6"
226,"James Mad",2007,"Last 5 Games Power Rating","0.5"
227,"Stetson",2007,"Last 5 Games Power Rating","-0.3"
228,"St Peters",2007,"Last 5 Games Power Rating","-0.5"
229,"Duquesne",2007,"Last 5 Games Power Rating","-2.5"
230,"McNeese St",2007,"Last 5 Games Power Rating","-2.8"
231,"Howard",2007,"Last 5 Games Power Rating","-4.5"
232,"Colorado",2007,"Last 5 Games Power Rating","-6.0"
233,"Montana St",2007,"Last 5 Games Power Rating","-6.3"
234,"Wagner",2007,"Last 5 Games Power Rating","-6.6"
235,"Grambling St",2007,"Last 5 Games Power Rating","-9.4"
236,"S Dakota St",2007,"Last 5 Games Power Rating","-18.0"
237,"Florida",2007,"Last 10 Games Power Rating","34.3"
238,"N Carolina",2007,"Last 10 Games Power Rating","31.6"
239,"Arizona",2007,"Last 10 Games Power Rating","28.8"
240,"Duke",2007,"Last 10 Games Power Rating","28.3"
241,"Connecticut",2007,"Last 10 Games Power Rating","27.5"
242,"Oregon",2007,"Last 10 Games Power Rating","27.0"
243,"Clemson",2007,"Last 10 Games Power Rating","26.0"
244,"Kansas",2007,"Last 10 Games Power Rating","25.7"
245,"Texas A&M",2007,"Last 10 Games Power Rating","25.1"
246,"Gonzaga",2007,"Last 10 Games Power Rating","24.7"
247,"Illinois",2007,"Last 10 Games Power Rating","24.6"
248,"Wisconsin",2007,"Last 10 Games Power Rating","22.5"
249,"Texas",2007,"Last 10 Games Power Rating","22.3"
250,"Marquette",2007,"Last 10 Games Power Rating","21.7"
251,"Kentucky",2007,"Last 10 Games Power Rating","21.6"
252,"N Carolina",2007,"Predictive Power Rating","33.3"
253,"Kansas",2007,"Predictive Power Rating","29.4"
254,"Florida",2007,"Predictive Power Rating","29.3"
255,"Texas A&M",2007,"Predictive Power Rating","27.6"
256,"Wisconsin",2007,"Predictive Power Rating","25.8"
257,"Duke",2007,"Predictive Power Rating","25.0"
258,"Texas",2007,"Predictive Power Rating","23.2"
259,"Kentucky",2007,"Predictive Power Rating","22.8"
260,"Arizona",2007,"Predictive Power Rating","21.9"
261,"Oregon",2007,"Predictive Power Rating","21.9"
262,"Clemson",2007,"Predictive Power Rating","21.8"
263,"Tennessee",2007,"Predictive Power Rating","20.4"
264,"Illinois",2007,"Predictive Power Rating","20.4"
265,"Creighton",2007,"Predictive Power Rating","20.0"
266,"Gonzaga",2007,"Predictive Power Rating","19.8"
267,"Purdue",2007,"Predictive Power Rating","19.7"
268,"Akron",2007,"Predictive Power Rating","19.6"
269,"Marquette",2007,"Predictive Power Rating","19.6"
270,"Connecticut",2007,"Predictive Power Rating","19.2"
271,"Wash State",2007,"Predictive Power Rating","19.2"
272,"BYU",2007,"Predictive Power Rating","19.1"
273,"Nevada",2007,"Predictive Power Rating","18.4"
274,"Virginia",2007,"Predictive Power Rating","18.2"
275,"Alabama",2007,"Predictive Power Rating","17.4"
276,"Texas Tech",2007,"Predictive Power Rating","16.4"
277,"San Diego St",2007,"Predictive Power Rating","14.4"
278,"NC State",2007,"Predictive Power Rating","14.2"
279,"Nebraska",2007,"Predictive Power Rating","13.8"
280,"Houston",2007,"Predictive Power Rating","13.3"
281,"Auburn",2007,"Predictive Power Rating","13.3"
282,"St Marys",2007,"Predictive Power Rating","12.7"
283,"Baylor",2007,"Predictive Power Rating","12.1"
284,"UAB",2007,"Predictive Power Rating","11.9"
285,"Lg Beach St",2007,"Predictive Power Rating","11.8"
286,"Boise St",2007,"Predictive Power Rating","11.7"
287,"Drake",2007,"Predictive Power Rating","11.4"
288,"W Kentucky",2007,"Predictive Power Rating","11.3"
289,"Col Charlestn",2007,"Predictive Power Rating","11.2"
290,"Colorado St",2007,"Predictive Power Rating","10.8"
291,"S Carolina",2007,"Predictive Power Rating","10.5"
292,"New Mexico",2007,"Predictive Power Rating","10.4"
293,"Dayton",2007,"Predictive Power Rating","10.0"
294,"Oakland",2007,"Predictive Power Rating","9.7"
295,"Iowa St",2007,"Predictive Power Rating","9.6"
296,"Northwestern",2007,"Predictive Power Rating","9.4"
297,"Vermont",2007,"Predictive Power Rating","9.3"
298,"Yale",2007,"Predictive Power Rating","6.1"
299,"Samford",2007,"Predictive Power Rating","3.3"
300,"Colorado",2007,"Predictive Power Rating","2.5"
301,"Duquesne",2007,"Predictive Power Rating","2.2"
302,"Montana St",2007,"Predictive Power Rating","0.2"
303,"Colgate",2007,"Predictive Power Rating","0.1"
304,"McNeese St",2007,"Predictive Power Rating","-0.1"
305,"Morehead St",2007,"Predictive Power Rating","-0.5"
306,"Wagner",2007,"Predictive Power Rating","-1.7"
307,"James Mad",2007,"Predictive Power Rating","-1.9"
308,"Stetson",2007,"Predictive Power Rating","-3.1"
309,"St Peters",2007,"Predictive Power Rating","-4.2"
310,"Longwood",2007,"Predictive Power Rating","-5.4"
311,"S Dakota St",2007,"Predictive Power Rating","-5.7"
312,"Howard",2007,"Predictive Power Rating","-7.4"
313,"Grambling St",2007,"Predictive Power Rating","-8.7"
314,"N Carolina",2007,"Strength of Schedule Power Rating","19.9"
315,"Duke",2007,"Strength of Schedule Power Rating","18.6"
316,"Kentucky",2007,"Strength of Schedule Power Rating","18.6"
317,"Florida",2007,"Strength of Schedule Power Rating","17.9"
318,"Arizona",2007,"Strength of Schedule Power Rating","17.5"
319,"Tennessee",2007,"Strength of Schedule Power Rating","17.2"
320,"Clemson",2007,"Strength of Schedule Power Rating","17.0"
321,"Wisconsin",2007,"Strength of Schedule Power Rating","17.0"
322,"Texas",2007,"Strength of Schedule Power Rating","16.7"
323,"Texas A&M",2007,"Strength of Schedule Power Rating","16.6"
324,"Kansas",2007,"Strength of Schedule Power Rating","16.3"
325,"Purdue",2007,"Strength of Schedule Power Rating","15.6"
326,"Illinois",2007,"Strength of Schedule Power Rating","15.5"
327,"Alabama",2007,"Strength of Schedule Power Rating","15.3"
328,"Virginia",2007,"Strength of Schedule Power Rating","15.2"
329,"Oregon",2007,"Strength of Schedule Power Rating","15.2"
330,"Marquette",2007,"Strength of Schedule Power Rating","15.1"
331,"Creighton",2007,"Strength of Schedule Power Rating","15.0"
332,"Texas Tech",2007,"Strength of Schedule Power Rating","14.8"
333,"NC State",2007,"Strength of Schedule Power Rating","14.6"
334,"Connecticut",2007,"Strength of Schedule Power Rating","14.6"
335,"Wash State",2007,"Strength of Schedule Power Rating","14.3"
336,"Gonzaga",2007,"Strength of Schedule Power Rating","13.8"
337,"S Carolina",2007,"Strength of Schedule Power Rating","13.7"
338,"Auburn",2007,"Strength of Schedule Power Rating","13.6"
339,"Nebraska",2007,"Strength of Schedule Power Rating","12.8"
340,"BYU",2007,"Strength of Schedule Power Rating","12.4"
341,"Baylor",2007,"Strength of Schedule Power Rating","12.2"
342,"Houston",2007,"Strength of Schedule Power Rating","11.8"
343,"Drake",2007,"Strength of Schedule Power Rating","11.7"
344,"Iowa St",2007,"Strength of Schedule Power Rating","11.2"
345,"San Diego St",2007,"Strength of Schedule Power Rating","11.2"
346,"Northwestern",2007,"Strength of Schedule Power Rating","11.1"
347,"UAB",2007,"Strength of Schedule Power Rating","11.0"
348,"Nevada",2007,"Strength of Schedule Power Rating","10.8"
349,"Colorado",2007,"Strength of Schedule Power Rating","10.5"
350,"Colorado St",2007,"Strength of Schedule Power Rating","10.2"
351,"New Mexico",2007,"Strength of Schedule Power Rating","9.8"
352,"St Marys",2007,"Strength of Schedule Power Rating","9.4"
353,"Dayton",2007,"Strength of Schedule Power Rating","9.4"
354,"Boise St",2007,"Strength of Schedule Power Rating","9.3"
355,"Akron",2007,"Strength of Schedule Power Rating","9.0"
356,"Oakland",2007,"Strength of Schedule Power Rating","8.4"
357,"Col Charlestn",2007,"Strength of Schedule Power Rating","8.4"
358,"Duquesne",2007,"Strength of Schedule Power Rating","7.0"
359,"Lg Beach St",2007,"Strength of Schedule Power Rating","6.8"
360,"W Kentucky",2007,"Strength of Schedule Power Rating","6.4"
361,"Yale",2007,"Strength of Schedule Power Rating","5.0"
362,"Vermont",2007,"Strength of Schedule Power Rating","4.8"
363,"James Mad",2007,"Strength of Schedule Power Rating","4.8"
364,"Montana St",2007,"Strength of Schedule Power Rating","3.8"
365,"Samford",2007,"Strength of Schedule Power Rating","3.7"
366,"Colgate",2007,"Strength of Schedule Power Rating","3.4"
367,"McNeese St",2007,"Strength of Schedule Power Rating","2.6"
368,"S Dakota St",2007,"Strength of Schedule Power Rating","2.3"
369,"Wagner",2007,"Strength of Schedule Power Rating","1.1"
370,"St Peters",2007,"Strength of Schedule Power Rating","1.1"
371,"Stetson",2007,"Strength of Schedule Power Rating","1.1"
372,"Morehead St",2007,"Strength of Schedule Power Rating","0.8"
373,"Longwood",2007,"Strength of Schedule Power Rating","0.6"
374,"Howard",2007,"Strength of Schedule Power Rating","-1.6"
375,"Grambling St",2007,"Strength of Schedule Power Rating","-5.6"
376,"Florida",2007,"Last 5 Games Power Rating","35.3"
377,"Illinois",2007,"Last 5 Games Power Rating","31.1"
378,"Gonzaga",2007,"Last 5 Games Power Rating","30.3"
379,"N Carolina",2007,"Last 5 Games Power Rating","29.1"
380,"Duke",2007,"Last 5 Games Power Rating","28.7"
381,"New Mexico",2007,"Last 5 Games Power Rating","28.1"
382,"Texas A&M",2007,"Last 5 Games Power Rating","28.1"
383,"Oregon",2007,"Last 5 Games Power Rating","26.7"
384,"Clemson",2007,"Last 5 Games Power Rating","26.2"
385,"Texas",2007,"Last 5 Games Power Rating","25.9"
386,"Marquette",2007,"Last 5 Games Power Rating","25.2"
387,"Arizona",2007,"Last 5 Games Power Rating","24.9"
388,"Kansas",2007,"Last 5 Games Power Rating","24.4"
389,"Connecticut",2007,"Last 5 Games Power Rating","23.7"
390,"Wisconsin",2007,"Last 5 Games Power Rating","22.3"
391,"Alabama",2007,"Last 5 Games Power Rating","22.2"
392,"Nevada",2007,"Last 5 Games Power Rating","21.6"
393,"Akron",2007,"Last 5 Games Power Rating","21.5"
394,"W Kentucky",2007,"Last 5 Games Power Rating","21.4"
395,"Purdue",2007,"Last 5 Games Power Rating","20.3"
396,"Nebraska",2007,"Last 5 Games Power Rating","19.5"
397,"Tennessee",2007,"Last 5 Games Power Rating","18.9"
398,"Virginia",2007,"Last 5 Games Power Rating","18.7"
399,"Kentucky",2007,"Last 5 Games Power Rating","18.1"
400,"Wash State",2007,"Last 5 Games Power Rating","18.0"
401,"Oakland",2007,"Last 5 Games Power Rating","17.4"
402,"Houston",2007,"Last 5 Games Power Rating","17.2"
403,"St Marys",2007,"Last 5 Games Power Rating","16.9"
404,"BYU",2007,"Last 5 Games Power Rating","16.6"
405,"San Diego St",2007,"Last 5 Games Power Rating","15.9"
406,"Creighton",2007,"Last 5 Games Power Rating","15.8"
407,"UAB",2007,"Last 5 Games Power Rating","15.4"
408,"Texas Tech",2007,"Last 5 Games Power Rating","15.3"
409,"Vermont",2007,"Last 5 Games Power Rating","14.1"
410,"Dayton",2007,"Last 5 Games Power Rating","14.0"
411,"Baylor",2007,"Last 5 Games Power Rating","13.5"
412,"NC State",2007,"Last 5 Games Power Rating","13.1"
413,"Auburn",2007,"Last 5 Games Power Rating","12.5"
414,"Drake",2007,"Last 5 Games Power Rating","12.1"
415,"Col Charlestn",2007,"Last 5 Games Power Rating","11.2"
416,"Lg Beach St",2007,"Last 5 Games Power Rating","9.4"
417,"Northwestern",2007,"Last 5 Games Power Rating","9.2"
418,"S Carolina",2007,"Last 5 Games Power Rating","8.6"
419,"Boise St",2007,"Last 5 Games Power Rating","8.5"
420,"Samford",2007,"Last 5 Games Power Rating","8.3"
421,"Colorado St",2007,"Last 5 Games Power Rating","7.9"
422,"Iowa St",2007,"Last 5 Games Power Rating","6.6"
423,"Yale",2007,"Last 5 Games Power Rating","5.7"
424,"Morehead St",2007,"Last 5 Games Power Rating","4.2"
425,"Colgate",2007,"Last 5 Games Power Rating","0.9"
426,"Longwood",2007,"Last 5 Games Power Rating","0.6"
427,"James Mad",2007,"Last 5 Games Power Rating","0.5"
428,"Stetson",2007,"Last 5 Games Power Rating","-0.3"
429,"St Peters",2007,"Last 5 Games Power Rating","-0.5"
430,"Duquesne",2007,"Last 5 Games Power Rating","-2.5"
431,"McNeese St",2007,"Last 5 Games Power Rating","-2.8"
432,"Howard",2007,"Last 5 Games Power Rating","-4.5"
433,"Colorado",2007,"Last 5 Games Power Rating","-6.0"
434,"Montana St",2007,"Last 5 Games Power Rating","-6.3"
435,"Wagner",2007,"Last 5 Games Power Rating","-6.6"
436,"Grambling St",2007,"Last 5 Games Power Rating","-9.4"
437,"S Dakota St",2007,"Last 5 Games Power Rating","-18.0"
438,"Florida",2007,"Last 10 Games Power Rating","34.3"
439,"N Carolina",2007,"Last 10 Games Power Rating","31.6"
440,"Arizona",2007,"Last 10 Games Power Rating","28.8"
441,"Duke",2007,"Last 10 Games Power Rating","28.3"
442,"Connecticut",2007,"Last 10 Games Power Rating","27.5"
443,"Oregon",2007,"Last 10 Games Power Rating","27.0"
444,"Clemson",2007,"Last 10 Games Power Rating","26.0"
445,"Kansas",2007,"Last 10 Games Power Rating","25.7"
446,"Texas A&M",2007,"Last 10 Games Power Rating","25.1"
447,"Gonzaga",2007,"Last 10 Games Power Rating","24.7"
448,"Illinois",2007,"Last 10 Games Power Rating","24.6"
449,"Wisconsin",2007,"Last 10 Games Power Rating","22.5"
450,"Texas",2007,"Last 10 Games Power Rating","22.3"
451,"Marquette",2007,"Last 10 Games Power Rating","21.7"
452,"Kentucky",2007,"Last 10 Games Power Rating","21.6"
453,"Tennessee",2007,"Last 10 Games Power Rating","21.3"
454,"Purdue",2007,"Last 10 Games Power Rating","21.0"
455,"W Kentucky",2007,"Last 10 Games Power Rating","20.6"
456,"Alabama",2007,"Last 10 Games Power Rating","19.6"
457,"Nevada",2007,"Last 10 Games Power Rating","19.4"
458,"Akron",2007,"Last 10 Games Power Rating","19.4"
459,"Nebraska",2007,"Last 10 Games Power Rating","16.1"
460,"Creighton",2007,"Last 10 Games Power Rating","16.0"
461,"Texas Tech",2007,"Last 10 Games Power Rating","15.5"
462,"Wash State",2007,"Last 10 Games Power Rating","14.8"
463,"Drake",2007,"Last 10 Games Power Rating","14.6"
464,"Oakland",2007,"Last 10 Games Power Rating","14.5"
465,"St Marys",2007,"Last 10 Games Power Rating","13.3"
466,"BYU",2007,"Last 10 Games Power Rating","13.2"
467,"Houston",2007,"Last 10 Games Power Rating","13.1"
468,"New Mexico",2007,"Last 10 Games Power Rating","13.1"
469,"UAB",2007,"Last 10 Games Power Rating","13.0"
470,"San Diego St",2007,"Last 10 Games Power Rating","12.8"
471,"Dayton",2007,"Last 10 Games Power Rating","12.8"
472,"Baylor",2007,"Last 10 Games Power Rating","12.4"
